Unnamed: 0,ref,city,departement,region,titre,type,living_area_m2,lot_size_m2,nb_room,nb_bedroom,pool,cellar,garage,output
6380,/fr/properties/10740a-07870.htm,Pellegrue,Gironde,Aquitaine,"Maison de caractère, proche Monségur, sur un terrain arboré d'environ 2500m² avec piscine.",maison,200.0,2500.0,,2.0,False,False,False,185500
6381,/fr/properties/671a-r1032.htm,Villeréal,Lot-et-Garonne,Aquitaine,Maison en sortie de village,maison,180.0,4850.0,8.0,4.0,False,True,True,199900
6382,/fr/properties/13311a-3300914566.htm,Lesparre-Médoc,Gironde,Aquitaine,Terrain,terrain,,2256.0,,,False,False,False,49800
6383,/fr/properties/20949a-s2404.htm,Brantôme,Dordogne,Aquitaine,2 maisons et grange,autre,243.0,3591.0,8.0,,False,False,False,232900
6384,/fr/properties/24813a-1218.htm,Bergerac,Dordogne,Aquitaine,"Propriété sur 1ha, maison périgourdine en pierre",maison,280.0,10000.0,,5.0,True,False,False,590000
6385,/fr/properties/65aba-af22661.htm,Lembeye,Pyrénées-Atlantiques,Aquitaine,"Maison + 3 gîtes, 2 ha",maison,430.0,21000.0,18.0,11.0,False,False,False,538000
6386,/fr/properties/26469a-201840plo.htm,Duras,Lot-et-Garonne,Aquitaine,Maison Duras,maison,113.0,4244.0,9.0,4.0,False,False,False,189260
6387,/fr/properties/63188a-472725.htm,Agen,Lot-et-Garonne,Aquitaine,Gentilhommière et son pigeonnier du 16ème,autre,310.0,,10.0,5.0,False,False,False,473000
6388,/fr/properties/28843a-70889.htm,Pont-du-Casse,Lot-et-Garonne,Aquitaine,Terrain F0,terrain,,4060.0,,,False,False,False,132000
6389,/fr/properties/10740a-07884.htm,Monségur,Gironde,Aquitaine,"Maison en pierre avec piscine & comprenant 5 chambres, proche Monségur.",maison,246.0,2785.0,,5.0,False,False,False,296800
6390,/fr/properties/29641a-3301714565.htm,Cavignac,Gironde,Aquitaine,Appartement,appartement,41.0,,2.0,,False,False,False,98000
6391,/fr/properties/5725a-101033.htm,Saint-Cyprien,Dordogne,Aquitaine,"Pres De Saint-Cyprien, Maison En Pierre A RENOVER",maison,190.0,354.0,6.0,4.0,False,False,False,156500
6392,/fr/properties/20773a-3063.htm,Mialet,Dordogne,Aquitaine,Jolie Maison Recente En Parfait Etat,maison,170.0,5500.0,6.0,3.0,False,False,True,235000
6393,/fr/properties/31658a-1067.htm,Fumel,Lot-et-Garonne,Aquitaine,Fumel - 5 pièce(s) - 120.8 m2,autre,121.0,2768.0,5.0,4.0,False,False,True,175000
6394,/fr/properties/36235a-807.htm,Doulezon,Gironde,Aquitaine,"Vignes appellation Bordeaux 4,4 hectares - Doulezon",autre,,44300.0,,,False,False,False,128400
6395,/fr/properties/58509a-648607.htm,Villeneuve-sur-Lot,Lot-et-Garonne,Aquitaine,Vente Maison/villa 5 pièces,autre,165.0,1868.0,5.0,4.0,False,False,False,255000
6396,/fr/properties/31658a-1065.htm,Montayral,Lot-et-Garonne,Aquitaine,Montayral - 9 pièce(s) - 197 m2,autre,197.0,5696.0,9.0,5.0,False,True,True,296800
6397,/fr/properties/5891a-00416.htm,Arcachon,Gironde,Aquitaine,Port Arcachon bel appartement de 80 m2 vue Bassin,appartement,80.0,,3.0,2.0,False,False,True,599000
6398,/fr/properties/13315a-3301814561.htm,Le Verdon-sur-Mer,Gironde,Aquitaine,Appartement,appartement,37.0,,3.0,2.0,False,False,True,69000
6399,/fr/properties/36235a-265.htm,Sauveterre-de-Guyenne,Gironde,Aquitaine,Entreprise d'exploitation forestière Sauveterre de Guyenne,autre,600.0,8110.0,,,False,False,False,346880
6400,/fr/properties/35382a-453.htm,Faux,Dordogne,Aquitaine,Propriete,autre,227.0,,9.0,5.0,False,False,False,630000
6401,/fr/properties/36235a-75.htm,Sauveterre-de-Guyenne,Gironde,Aquitaine,Fond de commerce coiffure masculine - Sauveterre de Guyenne,fond de commerce,60.0,,3.0,,False,False,False,22600
6402,/fr/properties/36235a-891.htm,Sainte-Gemme,Gironde,Aquitaine,Maison en pierre avec piscine - Sainte-Gemme,maison,233.0,2785.0,8.0,5.0,True,False,False,275600
6403,/fr/properties/36235a-596.htm,Monségur,Gironde,Aquitaine,Terrain constructible Monségur 2125 m2 avec vue sur vallée du Dropt.,terrain,2125.0,2125.0,,,False,False,False,39500
6404,/fr/properties/36235a-806.htm,Doulezon,Gironde,Aquitaine,Terrain à bâtir non viabilisé 1000 m² - Doulezon,terrain,1000.0,1000.0,,,False,False,False,34880
6405,/fr/properties/44945a-m598.htm,Briscous,Pyrénées-Atlantiques,Aquitaine,"Briscous, Propriete Fin 17ème Sur 10 Hectares De Terres",autre,150.0,100900.0,5.0,2.0,False,False,False,690000
6406,/fr/properties/5725a-300946.htm,Saint-Pompont,Dordogne,Aquitaine,Maison De Plain-Pied Avec Jolie VUE,maison,95.0,1173.0,6.0,4.0,False,False,False,151300
6407,/fr/properties/5725a-200896.htm,Loubejac,Dordogne,Aquitaine,"Oude vakantie kolonie.
Op de beganegrond: kantoor, keuken met koude kamer, douches (8 cabines), lin",autre,678.0,3850.0,25.0,20.0,False,False,False,135300
6408,/fr/properties/63172a-652808.htm,Serres-Castet,Pyrénées-Atlantiques,Aquitaine,Vente Maison/villa 7 pièces,autre,180.0,1184.0,7.0,4.0,False,False,False,333000
6409,/fr/properties/18000a-204179.htm,Oloron-Sainte-Marie,Pyrénées-Atlantiques,Aquitaine,Oloron Proximite Centre-Ville - Appartement T4 Avec Balcon En Bon Etat (Baisse De Prix),appartement,78.0,,4.0,3.0,False,False,False,75000
6410,/fr/properties/34286a-2418.htm,Jumilhac-le-Grand,Dordogne,Aquitaine,"Maison,Gite et Dependance Jumilhac Le Grand - 10 pièce(s) - 240 m2",autre,240.0,2816.0,10.0,5.0,True,False,True,267500
6411,/fr/properties/35979a-64025930.htm,Saint-Emilion,Gironde,Aquitaine,A Vendre - Maison girondine 12 pièces 500 m² à 5 min de Saint-Emilion,maison,500.0,600.0,12.0,8.0,False,False,True,550000
6412,/fr/properties/56402a-14.htm,Bordeaux,Gironde,Aquitaine,"Bordeaux Jardin Public, très jolie maison rénovée",maison,168.0,143.0,6.0,4.0,False,True,False,820000
6413,/fr/properties/48037a-114975ms.htm,Montignac,Dordogne,Aquitaine,Maison/Villa 8 pièces,autre,200.0,3900.0,8.0,6.0,True,True,True,498750
6414,/fr/properties/5891a-00414.htm,Arcachon,Gironde,Aquitaine,Appartement T2 - proche du centre et de la plage,appartement,50.0,,2.0,,False,False,True,355000
6415,/fr/properties/30145a-1080.htm,Sauveterre-de-Béarn,Pyrénées-Atlantiques,Aquitaine,Proche Sauveterre De Bearn - Maison bourgeoise élégante en excellente condition.,maison,200.0,2500.0,6.0,3.0,False,False,False,275000
6416,/fr/properties/19641a-47704.htm,Beauville,Lot-et-Garonne,Aquitaine,"Une belle maison , sur 5100m2 avec Pigeonnier, Beauville, Lot et Garonne",maison,148.0,5100.0,5.0,2.0,False,False,False,267000
6417,/fr/properties/29641a-3301714557.htm,Langon,Gironde,Aquitaine,Appartement,appartement,47.0,,2.0,,False,False,False,81800
6418,/fr/properties/26560a-115122sc.htm,Nontron,Dordogne,Aquitaine,Ch?Teau 10 pièces,autre,355.0,8411.0,10.0,4.0,False,False,True,416000
6419,/fr/properties/52652a-ag231-368.htm,Sainte-Foy-la-Grande,Gironde,Aquitaine,Immeuble,autre,117.0,165.0,5.0,2.0,False,False,False,125000
6420,/fr/properties/31801a-per-2741-mfg.htm,La Roque-Gageac,Dordogne,Aquitaine,Maison du XVIIIème siècle au coeur d'un des plus beaux villages de France,maison,570.0,,19.0,13.0,False,False,False,1150000
6421,/fr/properties/50580a-jm0103.htm,Le Teich,Gironde,Aquitaine,Maison T5 en centre ville,maison,96.0,130.0,5.0,4.0,False,False,False,320000
6422,/fr/properties/13315a-3301814558.htm,Le Verdon-sur-Mer,Gironde,Aquitaine,Appartement,appartement,60.0,,3.0,,True,False,True,86800
6423,/fr/properties/18938a-A662.htm,Monségur,Gironde,Aquitaine,Charmante maison en pierre a 1 Heure de Bordeaux,maison,300.0,12000.0,6.0,3.0,False,False,False,560000
6424,/fr/properties/13311a-3300914555.htm,Saint-Seurin-de-Cadourne,Gironde,Aquitaine,Appartement,appartement,54.0,,3.0,2.0,False,False,False,65800
6425,/fr/properties/13185a-1307.htm,Allas-les-Mines,Dordogne,Aquitaine,"Sur 8000m², maison de 170m² avec séjour, cuisine, 5 chambres, 2 salles de bains, grange",maison,170.0,8000.0,7.0,5.0,False,False,False,299500
6426,/fr/properties/24813a-1217.htm,Bergerac,Dordogne,Aquitaine,"Demeure en pierre rénovée et gîtes, sur 11ha",autre,400.0,110000.0,15.0,8.0,True,False,False,855000
6427,/fr/properties/89984.htm,Langon,Gironde,Aquitaine,Moulin coup de coeur,autre,300.0,36000.0,10.0,5.0,True,True,True,700000
6428,/fr/properties/60297a-148varrow.htm,Cavignac,Gironde,Aquitaine,A Vendre Propriete Offrant 1695 M2 De Batis Sur 11 Hectares,autre,450.0,114400.0,14.0,8.0,False,False,True,620800
6429,/fr/properties/21694a-lvt945.htm,Sarlat-la-Canéda,Dordogne,Aquitaine,"Secteur Cénac- Ideal investissement locatif-Maison de charme avec piscine,jaccuzi, sauna !",autre,200.0,206.0,5.0,3.0,False,False,False,375000
6430,/fr/properties/27818a-533.htm,Loubejac,Dordogne,Aquitaine,"Sur plus de 6 hectares avec etang, corps de ferme compose d une maison et d un gite",maison,140.0,69400.0,7.0,4.0,False,False,False,312000
6431,/fr/properties/28843a-70793.htm,Saint-André-et-Appelles,Gironde,Aquitaine,Maison F5,maison,220.0,150.0,5.0,,False,False,True,79200
6432,/fr/properties/1419a-2707.htm,Agen,Lot-et-Garonne,Aquitaine,Château,autre,355.0,4941.0,9.0,5.0,True,False,True,1300000
6433,/fr/properties/2460a-2362.htm,Terrasson-Lavilledieu,Dordogne,Aquitaine,Appartement Centre Ville De Terrasson,appartement,71.0,,3.0,2.0,False,False,True,129000
6434,/fr/properties/29644a-3302114554.htm,Saint-Médard-en-Jalles,Gironde,Aquitaine,Maison,maison,95.0,605.0,5.0,4.0,False,False,False,371000
6435,/fr/properties/24813a-1132.htm,Bergerac,Dordogne,Aquitaine,Maison en pierre du Xviii ème et ses 3 gîtes,maison,480.0,25000.0,20.0,10.0,True,False,False,650000
6436,/fr/properties/31214a-25123454.htm,Montpon-Ménestérol,Dordogne,Aquitaine,Maison,maison,99.0,5025.0,4.0,3.0,True,False,False,175000
