ref,city,county,district,area_m2,ground_m2,nb_room,nb_bedroom,pool,cellar,garage,output
/fr/properties/31214a-28992541.htm,Montpon-Ménestérol,Dordogne,Aquitaine,286,,10,4,,True,,199000
/fr/properties/26469a-225273ccv.htm,Eysines,Gironde,Aquitaine,100,,4,3,,,True,348367
/fr/properties/179101a-3002.htm,Came,Pyrénées-Atlantiques,Aquitaine,440,3000,14,6,,,True,685000
/fr/properties/38973a-137mx1913.htm,Laurède,Landes,Aquitaine,176,1100,5,3,True,,True,225000
/fr/properties/54830a-aa20191010.htm,Le Haillan,Gironde,Aquitaine,271,1463,10,7,,,True,649000
/fr/properties/19100a-3438047937.htm,Anglet,Pyrénées-Atlantiques,Aquitaine,70,,3,2,,True,True,274900
/fr/properties/35734a-24002315.htm,Sarlat-la-Canéda,Dordogne,Aquitaine,1472,,,,,True,True,1839285
/fr/properties/1419a-02682.htm,Lalinde,Dordogne,Aquitaine,220,34900,9,5,True,,,595000
/fr/properties/58132a-8500262676.htm,Libourne,Gironde,Aquitaine,130,450,5,3,,,True,299000
/fr/properties/26469a-_224005aut.htm,Meyrals,Dordogne,Aquitaine,127,1851,4,3,,,,299000
/fr/properties/67032a-7501186900.htm,Bergerac,Dordogne,Aquitaine,149,527,6,4,,,True,280000
/fr/properties/44914a-44942.htm,Agen,Lot-et-Garonne,Aquitaine,384,80,10,6,,True,,582400
/fr/properties/80770a-8500262494.htm,Libourne,Gironde,Aquitaine,225,,,,,,,325000
/fr/properties/26469a-214537irc88irc.htm,Bordeaux,Gironde,Aquitaine,44,,2,,,True,,169000
/fr/properties/51615a-3212.htm,Biarritz,Pyrénées-Atlantiques,Aquitaine,80,,3,,,True,,766500
/fr/properties/67076a-7501186906.htm,Saint-Félix-de-Bourdeilles,Dordogne,Aquitaine,,,16,,True,,,628000
/fr/properties/20665a-3027alb.htm,Fumel,Lot-et-Garonne,Aquitaine,410,325,12,5,,,,267500
/fr/properties/20762a-mdh2020023.htm,Ciboure,Pyrénées-Atlantiques,Aquitaine,185,,5,3,,,,1365000
/fr/properties/58132a-8500262677.htm,Cenon,Gironde,Aquitaine,110,610,4,3,,,,385000
/fr/properties/88340.htm,Domme,Dordogne,Aquitaine,350,2500,13,9,,True,True,490000
/fr/properties/9023a-1081.htm,Saint-Emilion,Gironde,Aquitaine,250,132400,7,3,,,,699000
/fr/properties/31214a-29093640.htm,Saint-Médard-de-Mussidan,Dordogne,Aquitaine,,2735,,,,,,33500
/fr/properties/20773a-2649.htm,Pomport,Dordogne,Aquitaine,120,155000,6,4,,,,685000
/fr/properties/35979a-640251152.htm,Biarritz,Pyrénées-Atlantiques,Aquitaine,350,3526,7,4,True,,True,3500000
/fr/properties/31785a-bia-1607-pp.htm,Biarritz,Pyrénées-Atlantiques,Aquitaine,139,,4,3,,True,True,990000
/fr/properties/465a-208.htm,Saint-Macaire,Gironde,Aquitaine,200,6900,8,5,,,,299000
/fr/properties/54977a-740-lacle.htm,Agen,Lot-et-Garonne,Aquitaine,275,,,,,,,249000
/fr/properties/26469a-223836irc8irc.htm,Bordeaux,Gironde,Aquitaine,65,,4,2,,True,True,245000
/fr/properties/19100a-3438047935.htm,Bayonne,Pyrénées-Atlantiques,Aquitaine,128,,4,3,,,True,235000
/fr/properties/37992a-4694.htm,Marmande,Lot-et-Garonne,Aquitaine,300,12000,7,5,,,,323000
/fr/properties/38784a-Bliss-124.htm,Moncrabeau,Lot-et-Garonne,Aquitaine,361,29600,16,6,True,,,795000
/fr/properties/55756a-7193.htm,Hautefage-la-Tour,Lot-et-Garonne,Aquitaine,160,,5,3,,,,88000
/fr/properties/37087a-830034772220.htm,La Teste-de-Buch,Gironde,Aquitaine,,498,,,,,,218000
/fr/properties/26469a-224225rmj.htm,Aillas,Gironde,Aquitaine,117,390,4,3,,,True,141000
/fr/properties/44544a-8500262694.htm,Bordeaux,Gironde,Aquitaine,69,,4,2,,True,True,330000
/fr/properties/67032a-7501186903.htm,Monbazillac,Dordogne,Aquitaine,580,,16,12,True,True,True,695000
/fr/properties/185577a-735190.htm,Targon,Gironde,Aquitaine,138,819,4,3,,,,320000
/fr/properties/67045a-7501186890.htm,Salignac-Eyvigues,Dordogne,Aquitaine,170,5200,6,4,True,,True,419000
/fr/properties/54830a-e20191204.htm,Libourne,Gironde,Aquitaine,470,705,11,5,,,True,939750
/fr/properties/54830a-b20200105.htm,Pessac,Gironde,Aquitaine,65,,3,2,,,True,314175
/fr/properties/38070a-8500262617.htm,Bordeaux,Gironde,Aquitaine,190,125,9,4,,True,,1043000
/fr/properties/24813a-10540.htm,Bergerac,Dordogne,Aquitaine,550,290000,15,7,,,,1000000
/fr/properties/67040a-7501186863.htm,Rouffignac-Saint-Cernin-de-Reilhac,Dordogne,Aquitaine,700,460000,10,7,True,True,,1160000
/fr/properties/54830a-f20191203.htm,Bordeaux,Gironde,Aquitaine,94,,4,3,,,True,420000
/fr/properties/59682a-greg3556.htm,Agen,Lot-et-Garonne,Aquitaine,120,11500,4,3,True,,True,200000
